client_id,full_name,age,birth_date,phone,email,responsible_manager,source,created_date,total_enrollments,total_attendances,first_attendance_date,last_attendance_date,attendance_days_span,lifetime_from_creation_to_last_attendance,student_status,branch,parent_info,subscribed_to_newsletter,vk,no_auto_notifications,diligence,base_attendance,risk,risk_score,avg_score,score_trend,academic_risk
262,Ученик_262,11,09.12.2014,79192580427,student262@example.com,Дмитрий,Реклама,08.11.2024,6,1,09.11.2024,23.12.2024,44,45,Бывший клиент,Северный,,Да,,Нет,0.141,0.492,1,0.982,2.58,0.00859,0
263,Ученик_263,14,21.12.2011,79321346113,student263@example.com,Анна,Друг,13.11.2025,5,4,24.11.2025,05.01.2026,42,53,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.6,0.859,0,0.0,1.27,-0.00587,1
264,Ученик_264,11,19.06.2014,79057656107,student264@example.com,Ольга,Соцсети,30.11.2025,7,4,02.12.2025,13.01.2026,42,44,Бывший клиент,Основной,Елена,Да,vk.com/id123,Да,0.3,0.735,1,0.465,3.5,-0.00568,0
265,Ученик_265,16,27.02.2010,79680884334,student265@example.com,Дмитрий,Сайт,16.08.2024,3,1,23.08.2024,12.11.2024,81,88,Бывший клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.498,0.728,1,0.732,3.73,0.00812,0
266,Ученик_266,14,19.08.2011,79199434489,student266@example.com,Анна,Соцсети,12.06.2025,6,6,24.06.2025,25.08.2025,62,74,Клиент,Южный,Елена,Нет,,Нет,0.7,0.865,0,0.191,4.37,-0.006,0
267,Ученик_267,17,24.09.2008,79165593497,student267@example.com,Ольга,Давно знаю,08.11.2024,10,9,18.11.2024,15.01.2025,58,68,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.474,0.854,0,0.303,3.27,-0.00978,0
268,Ученик_268,10,16.05.2015,79330999662,student268@example.com,Дмитрий,Реклама,21.10.2024,8,7,27.10.2024,03.12.2024,37,43,Клиент,Северный,Елена,Да,vk.com/id123,Нет,0.498,0.899,0,0.186,3.72,-0.01032,0
269,Ученик_269,16,19.11.2009,79598058121,student269@example.com,Анна,Давно знаю,04.02.2026,7,6,06.02.2026,14.04.2026,67,69,Клиент,Южный,,Нет,,Нет,0.54,0.834,0,0.304,3.35,-0.03182,1
270,Ученик_270,16,13.02.2010,79013250637,student270@example.com,Юлиана,Давно знаю,26.10.2024,4,4,29.10.2024,24.01.2025,87,90,Клиент,Северный,Елена,Да,,Да,0.3,0.881,0,0.258,3.1,0.00506,0
271,Ученик_271,13,21.02.2013,79149078381,student271@example.com,Анна,Друг,17.11.2024,9,4,19.11.2024,22.12.2024,33,35,Бывший клиент,Северный,Елена,Да,,Нет,0.157,0.689,1,0.846,2.44,0.00154,1
272,Ученик_272,10,27.07.2015,79321856529,student272@example.com,Юлиана,Реклама,13.09.2024,4,1,15.09.2024,17.10.2024,32,34,Бывший клиент,Северный,,Нет,,Нет,0.119,0.544,1,0.974,3.27,0.01208,0
273,Ученик_273,16,04.10.2009,79491625191,student273@example.com,Анна,Сайт,03.10.2025,11,7,08.10.2025,09.11.2025,32,37,Бывший клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.5,0.706,1,0.708,2.93,-0.02115,1
274,Ученик_274,10,01.04.2016,79472685761,student274@example.com,Ольга,Соцсети,11.07.2024,10,9,13.07.2024,10.09.2024,59,61,Бывший клиент,Северный,Елена,Нет,,Нет,0.072,0.786,1,0.835,1.22,-0.00438,1
275,Ученик_275,13,07.05.2012,79190736564,student275@example.com,Анна,Друг,27.06.2025,6,5,11.07.2025,30.09.2025,81,95,Клиент,Северный,Елена,Да,,Да,0.687,0.849,0,0.163,3.83,0.03244,0
276,Ученик_276,12,07.11.2013,79391932454,student276@example.com,Анна,Соцсети,05.03.2025,6,3,12.03.2025,14.04.2025,33,40,Клиент,Основной,Елена,Нет,,Нет,0.41,0.791,0,0.277,3.3,0.02268,0
277,Ученик_277,17,25.12.2008,79470787423,student277@example.com,Анна,Друг,17.10.2025,11,8,26.10.2025,15.01.2026,81,90,Бывший клиент,Северный,Елена,Да,,Нет,0.409,0.561,1,0.879,2.75,0.00162,0
278,Ученик_278,16,02.03.2010,79271314895,student278@example.com,Дмитрий,Соцсети,03.04.2024,3,2,06.04.2024,04.06.2024,59,62,Клиент,Южный,,Нет,vk.com/id123,Нет,0.7,0.813,0,0.251,4.55,-0.00128,0
279,Ученик_279,16,02.09.2009,79573772626,student279@example.com,Юлиана,Соцсети,06.07.2024,10,9,15.07.2024,21.09.2024,68,77,Клиент,Южный,Елена,Нет,,Нет,0.344,0.847,0,0.3,2.3,-0.02069,1
280,Ученик_280,12,16.04.2013,79117434526,student280@example.com,Юлиана,Соцсети,20.12.2024,8,2,26.12.2024,05.03.2025,69,75,Бывший клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.109,0.666,1,0.903,1.77,0.00137,1
281,Ученик_281,14,07.10.2011,79854946593,student281@example.com,Юлиана,Реклама,10.02.2026,3,3,16.02.2026,21.04.2026,64,70,Бывший клиент,Северный,Елена,Нет,,Нет,0.05,0.683,1,0.843,1.75,-0.01579,1
282,Ученик_282,16,15.02.2010,79419977113,student282@example.com,Анна,Сайт,03.03.2025,3,3,17.03.2025,01.06.2025,76,90,Клиент,Северный,Елена,Да,,Да,0.41,0.775,0,0.331,2.3,-0.01579,1
283,Ученик_283,11,08.06.2014,79317217932,student283@example.com,Анна,Друг,03.01.2026,7,7,09.01.2026,12.02.2026,34,40,Клиент,Северный,Елена,Да,,Нет,0.7,0.759,0,0.268,3.97,-0.00113,0
284,Ученик_284,11,21.02.2015,79842103498,student284@example.com,Анна,Давно знаю,10.08.2024,8,5,12.08.2024,28.09.2024,47,49,Клиент,Основной,Елена,Нет,,Нет,0.99,0.701,0,0.0,4.8,0.00476,0
285,Ученик_285,15,10.10.2010,79072127903,student285@example.com,Юлиана,Соцсети,30.06.2024,5,5,03.07.2024,02.09.2024,61,64,Клиент,Северный,Елена,Нет,,Нет,0.61,0.767,0,0.348,3.55,0.005,0
286,Ученик_286,13,07.04.2012,79554044237,student286@example.com,Юлиана,Давно знаю,27.10.2025,5,4,10.11.2025,15.01.2026,66,80,Клиент,Основной,Елена,Да,vk.com/id123,Нет,0.6,0.739,0,0.085,1.5,-0.0035,1
287,Ученик_287,12,18.10.2013,79200131434,student287@example.com,Дмитрий,Друг,10.07.2025,7,4,12.07.2025,10.09.2025,60,62,Клиент,Южный,Елена,Да,,Нет,0.61,0.736,0,0.288,3.29,-0.00953,0
288,Ученик_288,12,15.09.2013,79004778194,student288@example.com,Анна,Давно знаю,21.11.2025,11,11,01.12.2025,25.02.2026,86,96,Клиент,Южный,Елена,Нет,,Нет,0.559,0.742,0,0.281,4.12,-0.01009,0
289,Ученик_289,16,15.11.2009,79211606895,student289@example.com,Юлиана,Давно знаю,15.02.2025,7,7,28.02.2025,21.04.2025,52,65,Клиент,Северный,Елена,Да,,Да,0.449,0.786,0,0.323,1.37,-0.00993,1
290,Ученик_290,16,28.04.2009,79373581239,student290@example.com,Ольга,Соцсети,14.08.2025,3,3,18.08.2025,22.09.2025,35,39,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.7,0.816,0,0.207,1.72,-0.0182,1
291,Ученик_291,11,24.05.2014,79126552991,student291@example.com,Ольга,Реклама,12.01.2025,6,6,18.01.2025,13.04.2025,85,91,Клиент,Основной,Елена,Да,vk.com/id123,Да,0.99,0.94,0,0.0,4.27,-0.01369,0
292,Ученик_292,12,02.01.2014,79617193289,student292@example.com,Анна,Сайт,13.07.2024,7,6,27.07.2024,27.09.2024,62,76,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.6,0.854,0,0.0,3.1,0.00775,0
293,Ученик_293,15,31.07.2010,79150642261,student293@example.com,Анна,Друг,21.06.2025,10,6,28.06.2025,26.08.2025,59,66,Бывший клиент,Основной,Елена,Нет,,Нет,0.111,0.626,1,0.906,2.25,-0.00248,1
294,Ученик_294,10,18.08.2015,79209517616,student294@example.com,Юлиана,Друг,03.06.2024,3,3,12.06.2024,05.08.2024,54,63,Клиент,Северный,Елена,Да,,Нет,0.339,0.801,0,0.402,2.65,0.0364,0
295,Ученик_295,14,22.07.2011,79524737111,student295@example.com,Дмитрий,Соцсети,03.11.2025,6,6,13.11.2025,30.12.2025,47,57,Клиент,Основной,Елена,Нет,,Нет,0.965,0.949,0,0.0,4.8,0.00398,0
296,Ученик_296,12,21.03.2014,79838313402,student296@example.com,Ольга,Реклама,05.04.2025,7,7,09.04.2025,16.06.2025,68,72,Бывший клиент,Северный,,Да,,Нет,0.3,0.814,1,0.462,1.45,0.12857,1
297,Ученик_297,13,26.07.2012,79582014641,student297@example.com,Юлиана,Друг,20.02.2026,8,4,05.03.2026,16.05.2026,72,85,Бывший клиент,Основной,Елена,Нет,,Нет,0.205,0.482,1,0.972,2.07,-0.00288,1
298,Ученик_298,14,24.08.2011,79939319914,student298@example.com,Анна,Друг,05.09.2025,4,3,17.09.2025,22.11.2025,66,78,Клиент,Основной,Елена,Да,vk.com/id123,Да,0.635,0.757,0,0.241,3.9,-0.00656,0
299,Ученик_299,11,09.10.2014,79870485411,student299@example.com,Дмитрий,Давно знаю,20.09.2025,7,3,01.10.2025,24.12.2025,84,95,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.3,0.774,0,0.359,2.97,-0.00182,0
300,Ученик_300,10,08.10.2015,79864835149,student300@example.com,Дмитрий,Друг,02.02.2026,10,10,15.02.2026,04.04.2026,48,61,Клиент,Основной,,Да,vk.com/id123,Нет,0.906,0.952,0,0.0,4.9,-5e-05,0
301,Ученик_301,11,07.07.2014,79614970148,student301@example.com,Анна,Сайт,31.08.2024,9,7,06.09.2024,26.11.2024,81,87,Клиент,Северный,Елена,Нет,,Нет,0.953,0.79,0,0.0,4.6,0.00123,0
302,Ученик_302,11,16.07.2014,79297773877,student302@example.com,Анна,Давно знаю,08.05.2025,10,10,10.05.2025,21.06.2025,42,44,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.664,0.903,0,0.235,4.6,0.00922,0
303,Ученик_303,10,28.01.2016,79152655630,student303@example.com,Анна,Реклама,17.10.2025,8,6,19.10.2025,19.11.2025,31,33,Клиент,Южный,Елена,Да,,Да,0.42,0.8,0,0.349,1.0,-0.0,1
304,Ученик_304,10,19.05.2015,79745932321,student304@example.com,Дмитрий,Соцсети,24.06.2024,9,7,01.07.2024,01.08.2024,31,38,Клиент,Северный,Елена,Да,,Да,0.3,0.858,0,0.276,2.68,0.0084,0
305,Ученик_305,12,30.07.2013,79912794625,student305@example.com,Юлиана,Сайт,08.03.2025,11,8,14.03.2025,24.05.2025,71,77,Клиент,Основной,Елена,Да,,Да,0.3,0.868,0,0.341,3.22,0.00983,0
306,Ученик_306,13,14.09.2012,79346673808,student306@example.com,Дмитрий,Реклама,02.04.2025,9,7,04.04.2025,04.06.2025,61,63,Бывший клиент,Северный,Елена,Нет,,Нет,0.179,0.571,1,0.985,3.18,-0.00214,0
307,Ученик_307,10,14.06.2015,79672355141,student307@example.com,Дмитрий,Реклама,06.06.2024,9,7,10.06.2024,02.08.2024,53,57,Клиент,Северный,Елена,Да,vk.com/id123,Нет,0.556,0.818,0,0.356,3.75,-0.02315,0
308,Ученик_308,16,16.01.2010,79739369897,student308@example.com,Дмитрий,Соцсети,28.05.2025,7,6,02.06.2025,11.07.2025,39,44,Клиент,Основной,,Нет,vk.com/id123,Нет,0.7,0.847,0,0.258,2.75,-0.01444,1
309,Ученик_309,14,03.11.2011,79088498371,student309@example.com,Ольга,Реклама,13.03.2025,6,5,21.03.2025,14.05.2025,54,62,Бывший клиент,Северный,,Нет,,Нет,0.05,0.756,1,0.9,2.0,0.00356,1
310,Ученик_310,10,08.05.2015,79460883210,student310@example.com,Юлиана,Реклама,01.02.2025,9,7,02.02.2025,17.04.2025,74,75,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.7,0.855,0,0.172,3.68,0.00221,0
311,Ученик_311,12,16.02.2014,79009971784,student311@example.com,Анна,Давно знаю,26.06.2024,10,6,07.07.2024,19.08.2024,43,54,Клиент,Основной,Елена,Да,vk.com/id123,Да,0.586,0.679,0,0.303,1.65,-0.0619,1
312,Ученик_312,13,03.02.2013,79784651200,student312@example.com,Анна,Соцсети,26.06.2025,4,4,30.06.2025,02.09.2025,64,68,Клиент,Основной,Елена,Да,,Нет,0.99,0.92,0,0.0,4.9,0.00334,0
313,Ученик_313,10,29.09.2015,79569628927,student313@example.com,Анна,Сайт,04.07.2024,8,6,15.07.2024,21.09.2024,68,79,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.935,0.818,0,0.0,3.47,-0.02315,1
314,Ученик_314,15,09.05.2010,79661506578,student314@example.com,Дмитрий,Реклама,12.04.2025,5,1,20.04.2025,17.06.2025,58,66,Бывший клиент,Южный,Елена,Да,vk.com/id123,Да,0.195,0.583,1,0.885,1.66,-0.01661,1
315,Ученик_315,10,15.12.2015,79461052655,student315@example.com,Юлиана,Давно знаю,01.06.2025,4,2,10.06.2025,17.08.2025,68,77,Бывший клиент,Северный,,Да,,Да,0.19,0.673,1,0.872,2.5,-0.01346,1
316,Ученик_316,11,30.11.2014,79910417210,student316@example.com,Юлиана,Сайт,20.01.2026,5,4,23.01.2026,01.03.2026,37,40,Клиент,Южный,,Нет,vk.com/id123,Нет,0.7,0.851,0,0.107,3.95,0.0137,0
317,Ученик_317,10,21.12.2015,79841600554,student317@example.com,Анна,Друг,20.12.2024,10,8,03.01.2025,12.02.2025,40,54,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.698,0.834,0,0.262,4.03,-0.00309,0
318,Ученик_318,15,08.02.2011,79339809925,student318@example.com,Дмитрий,Реклама,04.08.2024,10,9,07.08.2024,15.10.2024,69,72,Клиент,Основной,Елена,Да,vk.com/id123,Да,0.3,0.819,0,0.26,2.06,0.00537,1
319,Ученик_319,14,19.06.2011,79017920106,student319@example.com,Ольга,Соцсети,21.05.2024,8,8,01.06.2024,20.08.2024,80,91,Клиент,Южный,Елена,Да,,Нет,0.3,0.891,0,0.268,2.77,-0.00406,0
320,Ученик_320,12,22.11.2013,79674922644,student320@example.com,Юлиана,Реклама,27.09.2024,8,8,09.10.2024,31.12.2024,83,95,Клиент,Южный,Елена,Нет,,Нет,0.69,0.906,0,0.238,2.56,-0.01519,1
321,Ученик_321,11,05.09.2014,79332759989,student321@example.com,Дмитрий,Соцсети,09.09.2024,11,10,12.09.2024,13.11.2024,62,65,Клиент,Основной,,Да,,Нет,0.681,0.895,0,0.107,4.3,-0.00065,0
322,Ученик_322,12,22.12.2013,79783786839,student322@example.com,Ольга,Реклама,24.06.2024,4,2,05.07.2024,19.09.2024,76,87,Клиент,Основной,Елена,Да,,Да,0.7,0.702,0,0.347,4.37,0.0376,0
323,Ученик_323,11,20.02.2015,79128250953,student323@example.com,Юлиана,Соцсети,16.09.2025,10,8,26.09.2025,04.11.2025,39,49,Клиент,Основной,Елена,Да,,Нет,0.3,0.931,0,0.268,1.98,-0.01976,1
324,Ученик_324,12,11.04.2013,79179275105,student324@example.com,Анна,Давно знаю,29.05.2024,9,8,09.06.2024,31.08.2024,83,94,Клиент,Северный,Елена,Нет,,Нет,0.3,0.871,0,0.304,2.67,0.00115,0
325,Ученик_325,15,20.11.2010,79562484182,student325@example.com,Юлиана,Давно знаю,07.06.2024,3,2,18.06.2024,13.08.2024,56,67,Бывший клиент,Основной,Елена,Нет,,Нет,0.05,0.793,1,0.802,1.0,-0.0,1
326,Ученик_326,13,14.06.2012,79536452156,student326@example.com,Дмитрий,Давно знаю,07.01.2025,4,4,08.01.2025,17.03.2025,68,69,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.3,0.894,0,0.344,1.52,-0.02219,1
327,Ученик_327,13,15.01.2013,79047285340,student327@example.com,Юлиана,Сайт,20.06.2025,8,7,30.06.2025,24.08.2025,55,65,Клиент,Основной,Елена,Да,vk.com/id123,Нет,0.3,0.792,0,0.351,1.0,-0.0,1
328,Ученик_328,11,07.08.2014,79241071485,student328@example.com,Дмитрий,Сайт,06.06.2025,11,11,08.06.2025,28.08.2025,81,83,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.622,0.95,0,0.128,1.52,-0.01767,1
329,Ученик_329,10,24.10.2015,79239643129,student329@example.com,Юлиана,Сайт,20.08.2025,6,5,21.08.2025,23.10.2025,63,64,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.509,0.801,0,0.299,1.8,-0.01394,1
330,Ученик_330,14,13.09.2011,79092755745,student330@example.com,Дмитрий,Давно знаю,24.04.2024,10,9,06.05.2024,06.07.2024,61,73,Клиент,Южный,Елена,Нет,,Нет,0.521,0.86,0,0.237,3.82,0.01017,0
331,Ученик_331,11,29.09.2014,79498137488,student331@example.com,Ольга,Реклама,27.08.2024,9,8,01.09.2024,01.11.2024,61,66,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.7,0.83,0,0.217,4.5,0.00024,0
332,Ученик_332,15,28.07.2010,79250179421,student332@example.com,Анна,Реклама,28.01.2026,10,5,03.02.2026,16.03.2026,41,47,Бывший клиент,Южный,,Нет,vk.com/id123,Нет,0.082,0.547,1,1.0,1.9,-0.00605,1
333,Ученик_333,13,15.04.2012,79111614410,student333@example.com,Ольга,Давно знаю,12.04.2024,9,8,17.04.2024,19.05.2024,32,37,Клиент,Основной,,Нет,,Нет,0.692,0.838,0,0.0,4.07,0.00626,0
334,Ученик_334,13,05.12.2012,79047137549,student334@example.com,Дмитрий,Соцсети,11.04.2025,10,9,18.04.2025,24.06.2025,67,74,Клиент,Основной,Елена,Да,,Нет,0.607,0.883,0,0.0,3.13,-0.00867,0
335,Ученик_335,10,13.07.2015,79684205125,student335@example.com,Ольга,Соцсети,02.05.2025,10,8,14.05.2025,07.07.2025,54,66,Клиент,Северный,Елена,Да,vk.com/id123,Нет,0.903,0.726,0,0.0,4.67,0.00078,0
336,Ученик_336,13,19.06.2012,79280236885,student336@example.com,Дмитрий,Давно знаю,14.10.2025,9,9,25.10.2025,07.12.2025,43,54,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.6,0.869,0,0.0,2.12,-0.0114,1
337,Ученик_337,11,16.09.2014,79146148980,student337@example.com,Ольга,Сайт,18.10.2025,6,5,26.10.2025,26.12.2025,61,69,Бывший клиент,Южный,Елена,Да,vk.com/id123,Нет,0.14,0.788,1,0.812,2.34,0.00677,1
338,Ученик_338,14,11.02.2012,79575444604,student338@example.com,Дмитрий,Реклама,28.12.2025,4,2,07.01.2026,01.04.2026,84,94,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.7,0.708,0,0.268,3.28,-0.00445,0
339,Ученик_339,16,21.12.2009,79867150570,student339@example.com,Ольга,Соцсети,08.10.2025,3,3,11.10.2025,18.12.2025,68,71,Клиент,Южный,Елена,Да,vk.com/id123,Нет,0.595,0.923,0,0.201,4.2,0.15,0
340,Ученик_340,10,10.04.2015,79097939109,student340@example.com,Юлиана,Друг,10.05.2024,5,5,18.05.2024,09.08.2024,83,91,Клиент,Южный,,Нет,vk.com/id123,Нет,0.94,0.758,0,0.0,4.4,-0.01823,0
341,Ученик_341,13,05.10.2012,79033374137,student341@example.com,Юлиана,Соцсети,17.09.2025,5,5,23.09.2025,04.11.2025,42,48,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.558,0.918,0,0.229,3.1,0.01154,0
342,Ученик_342,17,26.06.2008,79012838650,student342@example.com,Анна,Друг,09.12.2025,6,4,18.12.2025,26.02.2026,70,79,Клиент,Основной,,Да,vk.com/id123,Нет,0.387,0.699,0,0.366,3.22,0.00195,0
343,Ученик_343,16,14.12.2009,79625265416,student343@example.com,Анна,Реклама,22.07.2025,11,10,27.07.2025,21.10.2025,86,91,Клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.7,0.784,0,0.334,3.73,-0.00412,0
344,Ученик_344,14,27.02.2012,79098761306,student344@example.com,Юлиана,Давно знаю,27.12.2024,6,5,31.12.2024,25.02.2025,56,60,Клиент,Северный,,Нет,vk.com/id123,Нет,0.594,0.782,0,0.318,1.0,0.0,1
345,Ученик_345,12,12.08.2013,79532711663,student345@example.com,Анна,Давно знаю,13.06.2024,11,11,25.06.2024,10.08.2024,46,58,Клиент,Основной,Елена,Нет,,Нет,0.3,0.878,0,0.265,1.24,-0.00667,1
346,Ученик_346,13,30.08.2012,79478901124,student346@example.com,Ольга,Реклама,19.12.2025,5,4,02.01.2026,02.02.2026,31,45,Клиент,Основной,,Да,,Да,0.3,0.806,0,0.301,2.84,0.00373,0
347,Ученик_347,13,23.05.2012,79947876276,student347@example.com,Анна,Друг,24.03.2025,9,9,26.03.2025,23.05.2025,58,60,Клиент,Южный,Елена,Нет,,Нет,0.7,0.904,0,0.211,2.23,-0.02991,1
348,Ученик_348,10,20.02.2016,79410704185,student348@example.com,Дмитрий,Сайт,20.12.2024,8,8,22.12.2024,23.02.2025,63,65,Клиент,Южный,,Да,vk.com/id123,Нет,0.624,0.929,0,0.0,3.65,0.00756,0
349,Ученик_349,13,01.07.2012,79290378111,student349@example.com,Ольга,Соцсети,21.05.2025,7,5,31.05.2025,09.07.2025,39,49,Клиент,Основной,Елена,Нет,,Нет,0.7,0.793,0,0.161,4.8,0.00647,0
350,Ученик_350,15,05.06.2010,79868285490,student350@example.com,Юлиана,Реклама,09.02.2025,7,6,10.02.2025,27.03.2025,45,46,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.318,0.792,0,0.38,1.6,-0.02274,1
351,Ученик_351,13,10.06.2012,79820392140,student351@example.com,Анна,Реклама,07.07.2024,4,3,20.07.2024,22.08.2024,33,46,Клиент,Основной,,Да,,Нет,0.7,0.832,0,0.24,3.87,0.01845,0
352,Ученик_352,14,20.09.2011,79981378552,student352@example.com,Анна,Сайт,01.07.2024,7,5,06.07.2024,15.09.2024,71,76,Бывший клиент,Южный,,Нет,,Нет,0.05,0.617,1,0.953,1.95,0.00256,1
353,Ученик_353,10,12.04.2015,79188502642,student353@example.com,Анна,Сайт,02.11.2024,7,7,07.11.2024,29.12.2024,52,57,Клиент,Северный,Елена,Да,,Да,0.557,0.765,0,0.277,1.98,-0.00836,1
354,Ученик_354,10,07.03.2016,79356196659,student354@example.com,Анна,Реклама,27.10.2024,3,2,29.10.2024,22.12.2024,54,56,Клиент,Южный,,Нет,vk.com/id123,Нет,0.454,0.789,0,0.338,1.84,-0.01231,1
355,Ученик_355,10,29.01.2016,79023528797,student355@example.com,Анна,Сайт,24.08.2025,5,4,29.08.2025,16.10.2025,48,53,Клиент,Основной,Елена,Нет,vk.com/id123,Нет,0.929,0.809,0,0.0,2.68,-0.03053,1
356,Ученик_356,11,23.01.2015,79629230605,student356@example.com,Ольга,Давно знаю,22.11.2024,5,4,28.11.2024,01.02.2025,65,71,Клиент,Основной,Елена,Нет,,Нет,0.421,0.857,0,0.294,3.66,-0.01114,0
357,Ученик_357,12,22.10.2013,79697052007,student357@example.com,Анна,Реклама,20.07.2024,6,5,24.07.2024,10.09.2024,48,52,Клиент,Северный,Елена,Нет,,Нет,0.76,0.781,0,0.0,4.26,-0.00265,0
358,Ученик_358,14,23.06.2011,79788121101,student358@example.com,Ольга,Друг,01.08.2025,3,3,07.08.2025,04.10.2025,58,64,Клиент,Южный,,Да,,Да,0.306,0.78,0,0.342,1.0,-0.0,1
359,Ученик_359,10,05.01.2016,79988957253,student359@example.com,Дмитрий,Давно знаю,19.12.2025,11,9,25.12.2025,06.02.2026,43,49,Бывший клиент,Южный,Елена,Да,vk.com/id123,Да,0.313,0.554,1,0.877,2.2,-0.01129,1
360,Ученик_360,13,20.06.2012,79343080569,student360@example.com,Дмитрий,Давно знаю,16.08.2025,5,5,24.08.2025,15.11.2025,83,91,Клиент,Основной,,Да,vk.com/id123,Да,0.558,0.868,0,0.233,1.0,0.0,1
361,Ученик_361,17,20.02.2009,79376326283,student361@example.com,Дмитрий,Сайт,17.07.2025,8,6,24.07.2025,05.10.2025,73,80,Клиент,Северный,,Да,vk.com/id123,Нет,0.668,0.806,0,0.261,4.27,-0.00352,0
362,Ученик_362,12,05.04.2014,79949780478,student362@example.com,Дмитрий,Давно знаю,27.12.2024,10,10,01.01.2025,19.03.2025,77,82,Клиент,Северный,Елена,Нет,vk.com/id123,Нет,0.677,0.939,0,0.043,3.87,0.00061,0
363,Ученик_363,15,25.09.2010,79174651099,student363@example.com,Дмитрий,Сайт,13.01.2025,4,3,14.01.2025,13.04.2025,89,90,Клиент,Северный,,Нет,vk.com/id123,Нет,0.45,0.905,0,0.203,3.07,-0.00793,0
364,Ученик_364,15,20.03.2011,79182649071,student364@example.com,Юлиана,Сайт,17.03.2025,7,7,30.03.2025,30.05.2025,61,74,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.548,0.833,0,0.216,3.0,0.05455,0
365,Ученик_365,10,26.02.2016,79463129902,student365@example.com,Юлиана,Друг,12.12.2025,5,3,18.12.2025,23.01.2026,36,42,Бывший клиент,Южный,Елена,Нет,vk.com/id123,Нет,0.5,0.666,1,0.789,2.17,-0.01172,1
366,Ученик_366,11,26.08.2014,79748609261,student366@example.com,Юлиана,Реклама,01.12.2025,11,11,05.12.2025,24.01.2026,50,54,Клиент,Южный,,Да,vk.com/id123,Да,0.33,0.835,0,0.378,1.7,-0.01246,1
367,Ученик_367,14,04.07.2011,79613933158,student367@example.com,Ольга,Сайт,17.12.2024,6,4,24.12.2024,24.01.2025,31,38,Бывший клиент,Южный,,Да,vk.com/id123,Да,0.5,0.549,1,0.876,3.08,-0.00394,0
368,Ученик_368,14,18.01.2012,79214399191,student368@example.com,Ольга,Давно знаю,11.12.2024,4,0,14.12.2024,22.02.2025,70,73,Бывший клиент,Основной,,Да,,Да,0.273,0.593,1,0.863,2.4,-0.00679,1
369,Ученик_369,14,09.01.2012,79505672755,student369@example.com,Юлиана,Сайт,03.07.2024,3,3,05.07.2024,10.08.2024,36,38,Клиент,Северный,Елена,Да,,Да,0.7,0.859,0,0.183,1.73,-0.01655,1
370,Ученик_370,10,21.11.2015,79200341906,student370@example.com,Дмитрий,Давно знаю,06.09.2024,7,6,07.09.2024,03.11.2024,57,58,Клиент,Северный,,Нет,,Нет,0.9,0.776,0,0.0,4.97,0.00082,0
371,Ученик_371,10,23.08.2015,79162275325,student371@example.com,Ольга,Соцсети,17.06.2024,10,10,30.06.2024,23.09.2024,85,98,Клиент,Южный,,Нет,vk.com/id123,Нет,0.965,0.896,0,0.0,3.25,-0.0211,1
372,Ученик_372,13,21.02.2013,79878755907,student372@example.com,Дмитрий,Сайт,03.09.2025,7,7,06.09.2025,04.11.2025,59,62,Клиент,Южный,Елена,Да,vk.com/id123,Да,0.869,0.918,0,0.0,4.9,0.00297,0
373,Ученик_373,10,05.07.2015,79539127345,student373@example.com,Анна,Соцсети,26.10.2024,6,6,27.10.2024,16.01.2025,81,82,Клиент,Южный,Елена,Да,,Нет,0.93,0.865,0,0.0,4.7,-0.00585,0
374,Ученик_374,13,17.06.2012,79179491823,student374@example.com,Анна,Друг,11.12.2025,4,4,17.12.2025,13.03.2026,86,92,Клиент,Основной,,Нет,vk.com/id123,Нет,0.691,0.88,0,0.121,4.18,0.01005,0
375,Ученик_375,12,31.01.2014,79883221403,student375@example.com,Дмитрий,Давно знаю,03.01.2025,3,3,13.01.2025,17.03.2025,63,73,Клиент,Южный,,Нет,vk.com/id123,Нет,0.618,0.75,0,0.035,3.96,-0.00583,0
376,Ученик_376,10,05.06.2015,79597391512,student376@example.com,Ольга,Сайт,19.12.2024,9,9,25.12.2024,26.01.2025,32,38,Клиент,Северный,Елена,Да,vk.com/id123,Да,0.3,0.899,0,0.236,1.0,-0.0,1
